File: ALL_001_F_GER_ENG_ST1.TextGrid
Clauses: 28
  independent               | a black bird saw a hat
  coordinated_vp            | he makes a bunny a car a boat and lots of other stuff
  coordinated_vp            | and then he makes a snake
  subordinate_acl:relcl     | which is very scary
  coordinated_vp            | and he makes a bear
  coordinated_vp            | and bear scares away the snake
  coordinated_vp            | then he makes an elephant
  coordinated_vp            | and elephant scares away the bear
  coordinated_vp            | and then he makes a tiny mouse
  subordinate_acl:relcl     | which also scares away the elephant
  coordinated_vp            | and he just pours the cup of soap and water to the ground
  coordinated_vp            | and left there
  coordinated_vp            | and from the flood of soap and water a dragonshaped thing oc
  coordinated_vp            | and looks behind the boy
File: ALL_091_M_TUR_ENG_ST1.TextGrid
Clauses: 26
  independent               | it's a sunny day
  coordinated_vp            | and bird v is going around in the jungle
  coordinated_vp            | and then one of a sudden he sees a head on the floor
  coordinated_vp            | so he takes the head
  coordinated_vp            | and put it into his head
  coordinated_vp            | then he goes around
  coordinated_vp            | and he starts
  nonfinite_xcomp           | walking around the trees
  coordinated_vp            | and then bird v sees bird c with the head
  coordinated_vp            | and bird v makes fun of him
  subordinate_ccomp         | and says that he is very ugly with this head
  coordinated_vp            | and then bird v leaves the head on the floor
  coordinated_vp            | and goes away
  coordinated_vp            | and then bird v takes the head
  coordinated_vp            | and goes to a tree
  coordinated_vp            | and makes his nest on the tree with the head
  coordinated_vp            | and then bird c sees this action of bird v
  coordinated_vp            | and he tries
  nonfinite_xcomp           | to figure something out
  coordinated_vp            | and then bird v comes
  coordinated_vp            | and takes the head from bird v
  coordinated_vp            | and put the head into his head
  coordinated_vp            | then afterwards bird c gets very angry
  subordinate_advcl         | because he has a child on the head
  coordinated_vp            | so bird c leaves the head on the ground
  parataxis                 | and then the child of bird v is on the head of bird c
File: ALL_091_M_TUR_ENG_ST2.TextGrid
Clauses: 30
  independent               | it's a sunny day
  coordinated_vp            | and peter pan has a cup
  subordinate_acl:relcl     | which he has the material
  subordinate_acl           | to make bubbles in it
  coordinated_vp            | and then he is lying down in front of a tree
  coordinated_vp            | and he starts
  nonfinite_xcomp           | to make his bubbles
  subordinate_acl:relcl     | the first bubble that he makes
  parataxis                 | is a kangaroo
  coordinated_vp            | then he makes a lot of bubbles
  subordinate_acl:relcl     | which are a car a sheep or other animals as well
  coordinated_vp            | and then he makes a snake
  coordinated_vp            | and this snake attacks him
  subordinate_advcl         | so to scare the snake
  coordinated_vp            | he makes a big wild cat
  coordinated_vp            | and this cat attacks the snake
  coordinated_vp            | and then to scare the wild cat
  coordinated_vp            | he makes an elephant
  coordinated_vp            | and later elephant attacks the wild cat
  coordinated_vp            | and the wild cat goes away
  coordinated_vp            | but then peter pan thinks something for the elephant as well
  coordinated_vp            | he makes a tiny little mouse with his bubbles
  coordinated_vp            | and this bubble mice makes the elephant afraid of it
